Gene,Sentitive_1,Sentitive_2,Sentitive_3,Sentitive_4,Sentitive_5,Resistant_1,Resistant_2,Resistant_3,Resistant_4,Resistant_5
TM4SF18,4.661794581,4.658354238,4.853814773,5.077061199,4.559781241,2.958376879,3.351248314,3.156741922,2.623595653,2.9472138
BCL11A,4.808708735,4.796621107,5.03018308,4.749651879,4.522578584,3.017774735,3.236046654,3.175459204,2.779257624,2.897652522
DKK2,3.737285067,4.009905731,3.511769762,3.767263763,3.70319673,2.228211243,2.831688733,1.995796192,2.393986778,2.387286062
PLK2,6.201539626,5.58080221,6.05319796,6.014624118,5.579715816,3.611977225,3.691554671,3.794417101,3.786207866,3.721628583
MUM1L1,7.107140099,6.347209043,6.518973209,6.864671897,7.01045658,4.456805489,4.396936268,3.877760357,4.184115236,4.520845205
FDCSP,5.554673148,5.460887358,5.705047274,5.463722179,5.551715578,3.759699631,3.483322369,3.5432594,3.539237508,3.242855215
TNS3,7.738657701,7.622366256,7.72344715,7.976771086,7.828987964,5.30808884,4.593588776,4.601602858,5.073218508,5.102632706
LPAR1,7.27858849,7.126440302,7.196856356,7.521462023,7.408797919,4.795987359,4.430811025,4.186759813,5.289586654,4.55752188
SNCA,5.605554792,5.122600021,5.262343183,5.440671625,5.332384487,3.670443319,3.266991123,3.594082903,3.234143209,3.356346093
BMP5,5.787066113,5.579525303,5.946139076,5.574345431,5.054006595,3.775403783,3.807877801,3.319655129,3.38813637,3.595185613
KLF4,6.467670543,6.075475773,6.100198708,6.119023833,6.005770816,3.79076162,3.930406103,3.721502468,4.243153718,4.014880513
IKZF2,4.185938077,4.11687194,4.038614569,4.002123172,4.075897808,2.494252271,2.84076603,3.085257917,2.31257715,2.385240791
LIN7A,5.266720061,4.791292068,4.975613926,5.413149921,5.131899881,3.196353453,3.563798024,3.092879217,3.420604217,3.292514875
ZNF347,5.347098231,4.691051386,4.274626583,4.771149647,4.340724767,3.099301501,3.068629586,2.989650807,2.914520132,3.107585804
CD160,5.708875237,5.983741741,6.388785133,6.327581022,5.759226264,3.848967339,3.997554391,3.681241296,3.892244035,4.157343596
NRG1,6.75359621,6.565353258,6.355742969,6.619296378,6.622972739,4.629700627,4.234076531,4.02020177,4.012681842,4.495224421
CRNDE,3.989384736,3.76232422,3.68837005,4.350614775,4.026698431,2.542952605,2.438231349,2.517925526,2.55447561,2.825765915
LAMP3,8.226872909,8.139996784,8.261298248,8.458381964,8.245839524,6.070379021,6.483289376,4.290271362,4.007710334,6.08724377
LOC100288911,4.852699252,5.327418525,5.074471353,5.214016228,5.05916634,3.483628957,3.565128984,3.341300031,3.012549618,3.319890605
CHRM3,5.336912194,5.684746834,5.132510827,5.570971189,5.350535037,3.619906925,3.441329962,3.697370025,3.499828342,3.505060738
BICC1,5.269265864,5.271180692,4.925228196,4.508598673,4.970170622,3.496177057,3.534339071,3.654498738,3.114882314,2.566361036
IFT74,3.82452872,3.229011186,3.021594915,4.114547869,2.813537225,2.160955405,2.448338249,2.194766384,2.113541502,2.261530765
NPY1R,4.985364844,4.708316226,4.577957596,4.585747722,4.7008553,3.523247563,3.129536897,2.759347004,2.958104572,3.175132378
ODAM,6.518912554,5.715205242,6.358498724,6.564051352,5.320367507,3.963816104,4.533368326,3.595521315,3.84521951,4.182437614
AREG,5.420856163,4.706841077,5.399751218,5.783731875,5.196668263,3.903580809,3.134303099,3.396178168,3.516744297,3.5613675
HMCN1,3.330987521,2.867648801,3.400141032,3.575453524,3.461128916,2.287463436,2.605255681,2.232494662,2.373345362,1.564263836
WDR78,4.73776117,4.110108024,4.554482778,5.175240161,4.461008913,3.302819195,3.085999641,2.597914983,2.850221823,3.535050297
MME,9.079026143,8.588112719,8.703881516,8.966577068,8.896730592,6.034150293,5.949451897,5.657195168,5.876506475,6.044016324
FBN2,4.911779198,4.722509557,5.099620623,5.223234119,5.182030503,3.233819058,3.307617278,3.241071313,3.293901881,3.725131091
PTX3,5.193388788,4.982896858,5.152710649,5.236664758,5.104986965,3.76486684,3.242427435,3.560156652,3.118446908,3.586513857
OLFM3,4.959419587,4.508816911,4.63290133,4.862693198,4.436734528,3.255336469,2.97020383,3.312118766,3.140292897,3.110398268
CYP26A1,6.193613441,6.151858553,5.99357314,6.437107561,6.410398196,4.482057242,4.089158594,4.141354655,4.390246509,3.967934552
ANKRD29,4.415651797,4.192686687,4.123231434,4.405691601,4.048995421,2.968130262,3.074750292,2.785177791,2.737645271,2.757838175
PMAIP1,7.473213394,7.389491221,7.238881805,7.567856288,7.381787373,5.293404779,4.710062629,4.925048308,4.910222972,5.243063566
JAM2,5.862046777,5.760791362,5.898357699,5.974354746,5.979835409,4.002373235,4.171693151,4.130580034,3.715383141,4.013547412
SGCE,6.421406042,5.780033448,5.87268156,6.565859249,6.202936148,3.973686496,4.148051041,4.016049435,4.567713913,4.33794986
MAL2,4.812767686,4.652473665,4.369890192,4.786713341,4.658529239,2.96243259,3.176906709,2.916688447,3.457997681,3.384478455
PPM1H,6.337529985,6.565353258,6.468998274,6.973665009,6.026888277,4.429201432,4.425799811,3.894815152,4.54407253,4.831744524
PITX2,6.672191358,6.098116051,6.293033317,6.541746045,6.583417125,4.820956146,4.14806505,4.09886337,4.597681034,4.346079132
NPFFR2,5.525989531,5.854391652,5.322115699,5.826189218,5.258265618,3.770417538,3.709290748,4.3395015,3.470759595,3.712472449
MEF2C,4.547251584,4.731275201,4.388147933,5.166636116,4.904664831,3.142638366,3.399490569,3.326071765,3.42143143,3.007608644
TIMP3,3.998866619,4.419673092,3.634066061,4.484637486,3.655966152,3.013828894,2.749376179,2.707777835,2.687885883,2.74700674
ADGRL3,4.698532356,4.755969282,4.813306739,5.076341458,4.537665659,3.549225498,3.113944685,3.463891692,3.206854127,3.140115004
IL20RB,5.861897482,5.627719138,5.977084949,6.585629056,6.075805391,4.3669224,4.463546382,3.478527939,3.915968051,4.579904752
LGALS3,5.947567901,6.476260825,5.969262043,5.722722032,5.816923948,3.879342768,4.266285759,4.761234235,4.063119102,3.721927457
RNF128,6.135534603,6.205154041,5.585207915,6.201683168,6.328635093,4.202584741,3.59500209,4.384148724,4.235046675,4.640473788
ANXA3,5.105742629,4.502275242,4.447991752,4.819112234,5.040194787,3.370341319,3.396665267,2.897308664,3.484510851,3.411941311
ANK2,5.026807349,4.943775511,4.729809912,5.307773993,4.999988908,3.338153329,3.711006609,3.080244046,3.400751064,3.886497833
RTN1,6.693396553,6.480507506,6.754240389,6.742010336,6.51928899,4.609584018,4.646058682,4.489349533,4.601417424,4.779667833
PTPN21,5.223683505,5.061375013,5.018104057,4.842843585,5.096452387,3.69756625,3.412303405,3.618042757,3.382979922,3.481285404
EPS8,4.978518324,4.59501183,4.894853146,4.951226881,4.808222561,3.739806775,3.071702648,3.272838172,3.395035368,3.42167712
C5orf30,5.847611424,5.4742911,5.514988457,5.977346439,5.690502644,4.047624788,4.079378747,4.117879211,3.970323821,3.683409305
ROBO2,4.97112397,5.121356185,4.91039976,5.203841065,4.559483438,3.504628535,3.798000804,3.824962362,3.423021461,2.76070758
RASEF,3.536786398,3.386864105,3.470805081,3.860643114,3.260102801,2.808257733,2.574745944,1.934507113,2.706137082,2.240459055
FIBIN,10.38398896,10.14086595,10.1682679,10.81540551,10.39931814,7.465124955,7.349164481,6.9680668,7.034264436,7.551868726
CXADR,6.653705806,6.472008833,6.424035338,6.324614626,6.391321706,4.73034433,4.606370487,4.497222486,4.331856002,4.45083374
PHLDA1,4.511082411,4.185687754,4.347795942,4.780492978,4.648294482,2.909825707,3.123122551,3.402535576,3.01362399,3.324463302
ANXA1,10.02359427,9.57369546,9.4908243,10.25526689,9.951083441,6.972311573,6.810796976,6.836591541,6.925315775,7.063767406
C9orf3,5.704527368,5.853491603,5.802808526,6.194568564,5.629155173,4.048248545,4.575897045,4.102220034,4.067322835,3.758778589
GRIK2,4.465594442,4.265516766,4.392096681,5.258465927,4.148170672,3.026388974,3.128104205,3.378578219,2.857836072,3.482241803
NDNF,6.298156508,5.571636001,6.199021444,6.151858553,6.102543451,4.259215117,4.239719992,4.127838856,4.385941774,4.36973436
GABRA5,4.535839843,3.835708541,4.469830137,4.922573878,4.601162265,3.308564519,3.317580219,2.662856634,3.308310921,3.192812765
ZBBX,3.805580823,3.521637324,3.609937782,3.503187932,3.69244412,2.383936838,2.793726217,2.400210666,2.48920284,2.737088843
TP53INP1,4.5896799,5.634641648,4.790354906,4.768765087,4.724458589,3.619769339,3.283941723,3.552929079,3.406632132,3.449709186
SSFA2,6.329762354,5.989045229,6.095023267,6.436615734,6.172413103,4.510710396,4.322141266,4.145525429,4.558529285,4.413979855
DACT1,5.157751656,4.95298454,4.90107996,5.094257657,4.863180591,3.722570895,3.171564305,3.63748482,3.423672591,3.744414752
TMTC2,4.461081731,5.045446226,4.694845623,4.510860096,4.41349214,3.72369749,3.243621353,3.333865132,3.031999392,3.111550145
SH3BP2,4.510910254,5.569795835,5.016280712,3.99090586,4.740900048,3.968523141,3.571072209,3.34002675,3.148797822,2.917239641
LOC101927841,5.37534504,5.583312971,5.380431677,5.565699145,5.386947481,3.648393695,4.217467533,3.443832122,4.110591558,4.0140623
GUCY1B3,5.519764381,6.301951787,5.573010504,5.225120378,5.983743606,4.19870679,4.588009845,4.858328343,3.844766772,2.915819867
SOSTDC1,6.273337866,5.564324067,5.973873037,6.100446037,5.97075715,4.145443277,4.366305345,4.279222027,4.28220063,4.269182204
PKIA,6.18932643,6.387320764,6.090256636,5.995638013,6.385647183,4.552850326,4.764726674,4.254367595,4.357143433,4.29281756
TCF4,5.65159929,5.825741614,5.936092738,6.04222253,5.340785131,4.251131911,3.875190973,4.027413189,3.930233766,4.575762459
ELOVL7,5.794519502,6.027050888,6.221563014,5.960436975,6.003276992,4.685439574,4.432497192,4.379773076,3.738022413,4.326621062
FOLH1,7.498432305,7.608381716,7.345358225,6.13045286,6.795054771,5.864934301,5.656339357,4.985331382,4.553837244,4.450155349
CLGN,10.41384742,9.940962243,9.884997468,10.42375098,10.28031143,7.918195102,7.884499661,6.629062395,6.64945205,7.655119452
MORC4,6.355158288,6.683752406,6.531528503,6.698472427,6.168752455,4.985022847,4.626172625,4.814012404,4.169828602,4.815370184
TRPC6,3.88218203,3.976305238,4.08439408,3.914496241,3.887121873,2.81143753,3.313905548,2.981281253,2.719881815,2.431134368
POSTN,8.342607822,7.584645343,7.859584241,8.532306572,8.277230235,6.07656128,5.750146043,5.48430515,5.656558854,6.423791446
RAB3IP,4.936596305,5.110315902,5.05127959,4.995275138,4.575178918,3.315394061,3.851989571,3.917763417,3.512776342,3.27751232
UST,5.907960503,6.187571933,5.884401683,6.239666528,6.13348106,4.393576991,4.299049995,4.23651269,4.416138198,4.654053973
CXorf57,7.240168226,6.997563292,7.117448486,7.196460094,6.924082684,5.20609996,5.05993355,5.060066816,5.014382602,5.376399995
NOVA1,5.742207963,5.953368058,6.201805199,6.454681257,5.431426396,4.269768266,4.606319422,4.27554557,4.352847948,4.119282602
SPX,4.298843765,3.989647565,3.438261773,3.810626812,3.534044438,2.897474147,2.72141927,3.038327997,2.397561784,2.799826054
PNMA2,5.273446968,5.085119175,4.779772162,5.34508048,5.343292914,3.748691398,3.712167706,3.430950423,3.869865706,4.00786046
ZFHX4,3.938142006,4.104445547,3.694536964,4.183314529,4.024629838,2.419707403,3.146189256,2.80441914,2.941711657,3.249748813
MYBL1,7.200412962,6.858699327,6.939760627,7.375928282,6.839254023,5.302874713,4.64179017,4.963669594,5.640892997,5.202270186
LRFN5,5.603257157,5.433856668,5.277819585,5.92063039,5.289552298,3.764429842,4.289072826,4.501511592,4.085282469,3.496909632
RNF150,6.062833277,6.151858553,6.052197057,6.137639057,6.218008102,4.341579332,4.690087918,4.016307105,4.650164705,4.732170963
IFI44L,7.757588922,7.241983813,7.246177028,7.668587531,7.569883098,5.420329743,5.350638242,5.142388564,5.632384178,5.945787399
GPR160,7.081555983,6.804264899,6.901612702,7.120843251,7.225256284,5.334301586,5.16632896,5.031598722,4.972390841,5.281408981
SERPINA3,5.314841089,5.421912879,5.633203041,5.758418068,5.446860386,3.91143976,3.917841046,4.473886357,3.853476998,4.096149499
SHROOM3,7.213154579,7.133137697,7.124720611,7.381504966,7.274153694,5.266413567,5.241929716,5.31287082,5.38793787,5.363324828
DSC2,4.782853748,4.671971923,4.593352326,5.2474193,4.712484686,3.577266462,3.801430599,3.791160306,3.156417883,3.349877349
B3GAT2,7.084851334,7.191838844,6.919434386,7.544610077,7.182195064,5.133380327,5.085302451,5.264433295,5.565400052,5.485281767
PRKAA2,4.230820008,4.302910235,4.759732106,4.538269854,4.106109642,3.113140211,3.10144684,3.481151097,3.158486569,3.403261996
DOK6,4.452247465,4.1584739,4.432599234,4.497348509,4.130956693,3.196840179,3.183739735,3.120346341,3.496834561,3.095105546
IL18R1,4.65287833,4.293523151,4.196842888,4.950975013,4.566607704,3.410563806,3.852604891,3.152853936,3.419888401,3.006333485
COLGALT2,7.132484513,7.10230789,7.281714354,7.746338993,7.168808855,5.137446103,5.221480691,5.091297584,5.86923526,5.830206266
F2RL1,5.347098231,5.689654018,5.498938596,5.522807278,5.429431236,4.246647378,4.049536478,3.956790157,4.199858358,4.110664058
TSPAN13,8.695181858,8.142449517,8.112797191,8.376011867,8.338557,6.443289435,5.929664244,6.164050413,6.248003196,6.393767492
LIFR,5.476151385,5.606844859,5.39587579,5.388409201,5.420207457,4.187827368,3.92531905,3.973282777,4.165121616,4.179207377
CD55,8.055682355,7.445882212,7.355245081,8.293013339,8.079802456,6.027004593,5.947222635,5.252218902,6.016259009,6.131283604
C1orf21,7.335281384,7.020235401,7.17596352,7.282662077,7.375328683,5.207923494,5.284866156,5.479100769,5.517401278,5.616376186
ESRP1,4.518414602,4.464632031,3.934244193,4.386863295,4.018649056,3.494681174,3.563608864,3.137272628,2.771228032,3.024412567
DLGAP1,5.871771697,5.750447112,5.862405901,6.069329946,5.300197199,4.643873787,4.798103809,3.764093696,4.261043022,4.221727901
SAMD5,4.84054138,5.064974868,4.719254028,4.491941774,4.408676206,3.731452519,3.45489387,3.68451342,3.399880017,3.423597096
RPS6KA2,4.708969345,5.245760847,4.677706041,5.189972596,4.491152708,3.906456427,3.681866453,3.504715716,3.207767206,3.999912692
CCDC181,5.072361908,5.300557605,5.23143487,5.404596456,5.176605494,4.201809878,4.023850895,3.803226678,3.847920492,3.851573736
LRRC8C,5.620188088,5.557777273,4.828082405,5.303742049,5.126156656,4.052401713,3.446521036,4.064856326,4.160574575,4.25021859
FAM200B,5.845085718,5.570001988,5.666058921,5.918811543,5.56564967,4.209777559,4.398082849,4.082715131,4.479373544,4.419940661
NEGR1,5.205089093,4.859715416,4.852272614,5.264636285,4.463806685,3.976408715,3.178530054,3.997715341,3.73581017,3.760021466
ATP8A1,6.538438169,6.303077046,6.262388572,6.295702222,6.203042683,4.846914276,4.630497295,4.739080268,4.813205152,4.926118932
CDH10,6.474853743,6.374423074,6.371653092,5.944843303,6.671031477,5.181115337,5.505845679,4.397985641,4.544950383,4.516035029
SPAG6,3.825477685,4.578010038,4.32126687,4.748680025,3.86596285,3.093871736,3.597778354,3.08567748,3.323883914,3.092488587
EDNRA,6.352821396,6.346805291,6.125507263,6.493372324,5.993579175,4.863510764,4.643296183,4.338482963,4.767153098,5.19004172
AKR1C2,6.772917719,6.294565132,6.301880238,6.785341128,6.626322047,5.303800666,4.921636815,4.751777262,4.61188566,5.358077888
KIAA0232,4.715247736,5.020126616,4.886079949,4.771149647,4.72287682,3.801611966,3.068028166,3.647546339,3.778296311,4.063715875
GDF15,8.598036471,8.123033936,8.104609954,8.770479102,8.602891555,6.791427071,6.634943014,5.753253354,5.913646807,7.045464096
JUN,7.427136709,7.874409445,7.678269165,6.235778645,7.220175025,6.08486462,5.939056372,5.312629968,5.116633258,5.313505421
EFNA5,5.085276156,4.447407002,4.826698992,4.583389688,4.621362621,3.369661331,3.678756155,3.561601357,4.145053401,3.244620497
MMRN2,5.336649817,5.827062155,5.699622194,6.034594069,5.518245503,4.362820921,4.236308502,4.278603522,4.446829024,4.43402496
CASP12,4.755217135,4.157668186,4.115701782,5.197865317,3.758675623,3.453013953,3.393155378,3.121800711,3.259164328,3.61523
C4orf32,5.346437493,5.006816817,5.233958617,4.856032113,4.916366333,4.035561434,3.730289105,3.542612028,4.170712835,3.94977445
OGFRL1,9.926430639,8.915569105,9.13142927,9.509107631,9.675229515,7.442428558,7.08550286,7.150105801,7.213673343,7.353643528
EPHA7,4.770454016,4.755844897,4.9379628,5.05736476,4.881325533,3.509989744,3.851879553,4.071682163,3.783248552,3.597739951
LRRK2,5.407870859,5.197865317,4.825777201,5.034099118,5.020476928,4.051899016,4.225450719,3.961417132,3.73073575,3.709702254
NRIP1,7.314595193,7.21828423,7.099970378,7.551044041,7.209795423,5.700008817,5.470337721,5.380437646,5.808755694,5.742092365
MAGI2,5.773574079,5.632384178,5.524392331,5.777374617,5.24916276,3.94794485,4.330108754,4.325153773,4.532200252,4.486398573
RBM24,5.200694637,5.350346886,4.875941945,5.11871228,5.057049549,4.244759,3.525688714,4.154473703,3.890382267,3.987565013
FAM84B,8.180636877,7.790055405,7.950789434,8.258926713,8.08328963,6.674841343,6.4267258,5.817326388,5.626864487,6.680269647
FOXC1,4.839970812,5.184670096,5.34787366,5.234285403,5.049293726,3.998866619,3.930015785,3.552225615,4.352608309,4.077120303
SLIT2,9.118519178,8.276820835,8.539055317,9.105436303,9.245720719,6.991008333,6.957686793,6.462465994,6.852839584,7.223146977
LOC101929147,6.113200723,6.038609324,6.036542259,6.282634992,6.159333129,4.897461451,4.303142832,4.865994613,4.987053583,4.833145256
PDE5A,5.05575205,5.269563247,5.153967791,5.184585261,4.85124248,4.211489497,3.727962671,3.834803497,3.998866619,4.126378766
CTSO,5.619176296,5.578237876,5.197782634,5.747176697,5.694874514,4.45729766,4.255328523,4.072960763,4.586435757,4.341488345
PROSER2,4.706391892,4.452139887,4.71789469,4.889327699,4.778198491,4.009094293,3.782877315,3.763963115,3.215691705,3.597739951
MCOLN3,7.473515503,7.25960823,7.237615888,7.37657926,7.499060797,5.832102905,5.789670174,5.61832104,5.55070549,5.97682886
SLC10A4,5.639364618,5.265181282,5.280819553,5.565719125,4.863180591,4.360098147,3.920966932,3.738729011,4.497978225,4.286631722
OCLN,7.767140401,7.527508182,7.757197961,7.424873713,7.589493758,6.119395177,5.921448314,5.823289419,5.918616945,6.008121408
TLE1,7.31902502,6.987650985,7.089200531,7.453714998,7.454517031,6.045684008,5.280171455,5.26693604,6.015260269,5.834202536
SEMA3E,5.574294024,5.8772621,5.498572671,5.805836804,5.26693604,4.563975734,3.809339866,4.32345905,4.245678599,5.035876915
GPR161,6.093947616,5.827920289,5.547486596,6.288345082,5.98788762,4.856418884,4.445870442,4.680071759,4.495815748,4.895771504
LCORL,4.858171804,5.044572684,4.87990193,4.743615556,4.259520346,3.883101347,3.927161013,3.788761791,3.295271262,3.798791924
IGFBP3,6.347284832,6.62082092,6.509123727,6.375649492,6.474648521,4.90740185,5.282646778,5.378086299,4.959154588,4.889481183
PERP,8.160214798,7.824233975,7.822665852,8.47151002,8.119174559,6.472251934,6.241997778,6.050933861,6.443422111,6.627644865
LVCAT1,4.943681434,4.805747059,4.617185201,5.249829103,4.521882334,3.937881499,3.905676031,3.522076029,3.505398948,4.183394418
ANTXR1,9.105814106,8.904517541,8.963598398,9.339237553,9.133926936,7.377851472,7.110217342,6.814548905,7.231865735,7.418716452
CYFIP2,4.987719782,5.23670191,4.909121306,5.647373825,5.445148815,4.129339809,4.371473264,4.332249559,4.159971899,3.765481336
AGR2,5.049431309,4.957469906,4.833083919,4.82020817,4.369397194,3.712090044,3.871481961,4.029163214,3.644817714,3.769367888
ARHGAP5-AS1,6.496870948,6.572556437,6.169217639,6.834243794,6.317208334,5.136640127,5.35832088,4.756742246,4.985397681,5.420697482
ACSM3,5.293002401,4.479431478,4.884284441,5.455137724,4.781034277,3.831031925,3.871079249,3.746559779,4.010824825,4.297014051
HDAC8,4.180943024,3.806074708,4.055304797,4.505204064,3.938435815,5.278133091,4.594845042,5.436709005,5.821748266,6.136244445
NSDHL,6.254916153,5.84457867,6.081029254,6.406312514,6.187347489,8.112978458,7.920793826,8.126406045,8.538016513,8.44717317
HS2ST1,4.233942377,4.573729303,3.962016757,4.596198463,3.5489039,5.941429984,5.430710971,5.153967791,5.605967973,5.847268471
HAUS5,3.504664026,3.959080548,4.013111434,3.83123986,3.800583226,4.846958279,4.605864083,5.190779572,5.185789452,5.77093439
TDRKH,5.124195629,4.832122306,5.01397867,5.638455466,5.048424661,6.869672032,6.477563911,6.681173063,7.200420355,7.262640193
TAGLN,5.554043111,5.810191303,5.874474048,5.986200526,5.557543087,7.583883836,7.322459326,7.756791281,8.105852505,7.956638299
ROR1,4.39905157,4.340707786,4.408294368,4.314513671,4.133910524,6.018821137,5.656300364,5.769411532,5.681908066,6.045200335
DIAPH3,3.684067905,3.089708631,3.45996657,4.048621314,3.607173255,4.536048423,4.329975295,4.656080943,5.452144748,5.210441955
